alpha,upper1,lower1,upper2,lower2
5.000000e-03,1.994539e+01,1.994366e+01,3.985748e+01,3.985402e+01
1.000000e-02,1.989054e+01,1.988748e+01,3.971449e+01,3.970838e+01
1.500000e-02,1.983564e+01,1.983124e+01,3.957144e+01,3.956267e+01
2.000000e-02,1.978069e+01,1.977496e+01,3.942832e+01,3.941689e+01
2.500000e-02,1.972569e+01,1.971862e+01,3.928512e+01,3.927105e+01
3.000000e-02,1.967064e+01,1.966224e+01,3.914186e+01,3.912514e+01
3.500000e-02,1.961554e+01,1.960580e+01,3.899853e+01,3.897916e+01
4.000000e-02,1.956039e+01,1.954931e+01,3.885512e+01,3.883311e+01
4.500000e-02,1.950519e+01,1.949277e+01,3.871164e+01,3.868699e+01
5.000000e-02,1.944994e+01,1.943618e+01,3.856808e+01,3.854080e+01
5.500000e-02,1.939463e+01,1.937953e+01,3.842446e+01,3.839453e+01
6.000000e-02,1.933927e+01,1.932283e+01,3.828075e+01,3.824819e+01
6.500000e-02,1.928386e+01,1.926607e+01,3.813697e+01,3.810178e+01
7.000000e-02,1.922839e+01,1.920926e+01,3.799311e+01,3.795529e+01
7.500000e-02,1.917287e+01,1.915239e+01,3.784917e+01,3.780873e+01
8.000000e-02,1.911729e+01,1.909546e+01,3.770515e+01,3.766208e+01
8.500000e-02,1.906166e+01,1.903847e+01,3.756105e+01,3.751536e+01
9.000000e-02,1.900596e+01,1.898143e+01,3.741687e+01,3.736856e+01
9.500000e-02,1.895021e+01,1.892433e+01,3.727261e+01,3.722168e+01
1.000000e-01,1.889440e+01,1.886716e+01,3.712826e+01,3.707472e+01
1.050000e-01,1.883853e+01,1.880994e+01,3.698383e+01,3.692768e+01
1.100000e-01,1.878260e+01,1.875265e+01,3.683931e+01,3.678055e+01
1.150000e-01,1.872661e+01,1.869530e+01,3.669471e+01,3.663334e+01
1.200000e-01,1.867056e+01,1.863789e+01,3.655001e+01,3.648605e+01
1.250000e-01,1.861444e+01,1.858042e+01,3.640523e+01,3.633866e+01
1.300000e-01,1.855826e+01,1.852287e+01,3.626036e+01,3.619119e+01
1.350000e-01,1.850202e+01,1.846527e+01,3.611539e+01,3.604363e+01
1.400000e-01,1.844571e+01,1.840759e+01,3.597034e+01,3.589598e+01
1.450000e-01,1.838934e+01,1.834985e+01,3.582519e+01,3.574824e+01
1.500000e-01,1.833290e+01,1.829204e+01,3.567994e+01,3.560041e+01
1.550000e-01,1.827639e+01,1.823416e+01,3.553460e+01,3.545248e+01
1.600000e-01,1.821981e+01,1.817621e+01,3.538916e+01,3.530446e+01
1.650000e-01,1.816316e+01,1.811819e+01,3.524362e+01,3.515634e+01
1.700000e-01,1.810644e+01,1.806010e+01,3.509798e+01,3.500812e+01
1.750000e-01,1.804965e+01,1.800194e+01,3.495224e+01,3.485981e+01
1.800000e-01,1.799279e+01,1.794370e+01,3.480639e+01,3.471139e+01
1.850000e-01,1.793585e+01,1.788538e+01,3.466044e+01,3.456288e+01
1.900000e-01,1.787884e+01,1.782699e+01,3.451439e+01,3.441426e+01
1.950000e-01,1.782176e+01,1.776852e+01,3.436823e+01,3.426554e+01
2.000000e-01,1.776460e+01,1.770998e+01,3.422196e+01,3.411671e+01
2.050000e-01,1.770736e+01,1.765135e+01,3.407558e+01,3.396777e+01
2.100000e-01,1.765004e+01,1.759265e+01,3.392908e+01,3.381873e+01
2.150000e-01,1.759264e+01,1.753386e+01,3.378248e+01,3.366957e+01
2.200000e-01,1.753516e+01,1.747499e+01,3.363576e+01,3.352031e+01
2.250000e-01,1.747760e+01,1.741604e+01,3.348892e+01,3.337093e+01
2.300000e-01,1.741996e+01,1.735700e+01,3.334197e+01,3.322143e+01
2.350000e-01,1.736223e+01,1.729788e+01,3.319490e+01,3.307182e+01
2.400000e-01,1.730442e+01,1.723867e+01,3.304770e+01,3.292209e+01
2.450000e-01,1.724652e+01,1.717937e+01,3.290039e+01,3.277225e+01
2.500000e-01,1.718853e+01,1.711998e+01,3.275294e+01,3.262228e+01
2.550000e-01,1.713046e+01,1.706050e+01,3.260538e+01,3.247219e+01
2.600000e-01,1.707229e+01,1.700093e+01,3.245768e+01,3.232197e+01
2.650000e-01,1.701403e+01,1.694126e+01,3.230985e+01,3.217162e+01
2.700000e-01,1.695568e+01,1.688150e+01,3.216190e+01,3.202115e+01
2.750000e-01,1.689724e+01,1.682165e+01,3.201380e+01,3.187055e+01
