rho,performance0,interval0,performance1,interval1
5.000000e-02,1.878634e+00,2.764588e-03,1.877780e+00,3.130508e-03
1.000000e-01,1.749956e+00,3.105810e-03,1.749842e+00,3.373925e-03
1.500000e-01,1.629306e+00,3.019266e-03,1.629121e+00,3.136685e-03
2.000000e-01,1.510179e+00,3.229886e-03,1.513537e+00,2.517059e-03
2.500000e-01,1.396803e+00,2.648474e-03,1.400375e+00,3.036966e-03
3.000000e-01,1.287995e+00,3.011908e-03,1.292223e+00,2.712872e-03
3.500000e-01,1.183012e+00,2.896472e-03,1.185556e+00,2.855018e-03
4.000000e-01,1.079238e+00,2.666855e-03,1.080841e+00,2.926177e-03
4.500000e-01,9.801598e-01,2.670425e-03,9.832222e-01,2.497412e-03
5.000000e-01,8.877844e-01,2.682452e-03,8.898540e-01,2.719379e-03
5.500000e-01,7.939945e-01,2.685500e-03,7.951548e-01,2.842560e-03
6.000000e-01,7.012859e-01,2.489337e-03,7.025998e-01,2.604090e-03
6.500000e-01,6.127377e-01,2.571452e-03,6.131106e-01,2.446234e-03
7.000000e-01,5.279077e-01,2.607852e-03,5.263625e-01,2.751970e-03
7.500000e-01,4.422174e-01,2.665301e-03,4.428035e-01,2.542288e-03
8.000000e-01,3.566623e-01,2.016687e-03,3.568490e-01,2.170490e-03
8.500000e-01,2.740122e-01,2.354631e-03,2.750311e-01,2.446748e-03
9.000000e-01,1.911417e-01,2.448561e-03,1.912158e-01,2.523402e-03
9.500000e-01,1.013536e-01,2.601613e-03,1.013955e-01,2.639350e-03
