rho,performance0,interval0,performance1,interval1
5.000000e-02,2.635063e+00,5.756395e-03,2.644423e+00,5.008717e-03
1.000000e-01,2.788471e+00,7.194721e-03,2.796418e+00,6.085675e-03
1.500000e-01,2.964937e+00,6.939536e-03,2.970983e+00,6.933704e-03
2.000000e-01,3.153860e+00,8.028202e-03,3.157114e+00,8.279424e-03
2.500000e-01,3.369709e+00,9.739470e-03,3.374257e+00,8.598507e-03
3.000000e-01,3.613769e+00,1.114919e-02,3.613449e+00,1.130160e-02
3.500000e-01,3.904418e+00,1.188083e-02,3.895515e+00,1.352345e-02
4.000000e-01,4.224592e+00,1.430119e-02,4.208675e+00,1.372833e-02
4.500000e-01,4.587925e+00,1.528253e-02,4.586204e+00,1.599609e-02
5.000000e-01,5.046304e+00,1.933964e-02,5.011898e+00,1.710104e-02
5.500000e-01,5.572542e+00,2.300302e-02,5.561588e+00,2.588982e-02
6.000000e-01,6.209848e+00,2.538605e-02,6.193811e+00,2.522916e-02
6.500000e-01,7.044752e+00,3.626436e-02,6.997453e+00,3.591043e-02
7.000000e-01,8.141615e+00,5.117216e-02,8.106384e+00,4.599472e-02
7.500000e-01,9.586888e+00,6.109580e-02,9.545216e+00,6.711732e-02
8.000000e-01,1.169274e+01,8.708551e-02,1.165441e+01,9.039178e-02
8.500000e-01,1.505503e+01,1.675839e-01,1.500624e+01,1.773927e-01
9.000000e-01,2.155737e+01,3.448926e-01,2.142467e+01,3.370675e-01
9.500000e-01,3.978733e+01,1.045384e+00,3.964879e+01,1.061378e+00
