rho,performance0,interval0,performance1,interval1
5.000000e-02,2.662958e+00,6.402084e-03,2.669973e+00,6.269452e-03
1.000000e-01,2.807675e+00,6.932077e-03,2.817441e+00,7.031563e-03
1.500000e-01,2.977818e+00,8.029916e-03,2.974659e+00,7.585087e-03
2.000000e-01,3.164751e+00,9.223898e-03,3.159297e+00,9.185563e-03
2.500000e-01,3.381586e+00,9.106648e-03,3.392902e+00,9.230444e-03
3.000000e-01,3.639534e+00,1.044669e-02,3.630663e+00,1.015785e-02
3.500000e-01,3.929197e+00,1.173113e-02,3.912268e+00,1.251498e-02
4.000000e-01,4.245653e+00,1.576894e-02,4.260253e+00,1.555165e-02
4.500000e-01,4.642568e+00,1.873717e-02,4.623788e+00,1.845917e-02
5.000000e-01,5.087425e+00,2.129634e-02,5.073136e+00,1.846796e-02
5.500000e-01,5.619020e+00,2.425646e-02,5.616816e+00,2.268596e-02
6.000000e-01,6.304547e+00,3.144543e-02,6.299669e+00,2.976959e-02
6.500000e-01,7.158508e+00,3.962576e-02,7.154866e+00,3.793115e-02
7.000000e-01,8.281098e+00,4.492895e-02,8.251122e+00,4.916514e-02
7.500000e-01,9.722327e+00,8.417519e-02,9.763279e+00,7.171744e-02
8.000000e-01,1.189457e+01,1.078360e-01,1.194452e+01,1.026402e-01
8.500000e-01,1.560244e+01,2.059035e-01,1.555261e+01,2.128027e-01
9.000000e-01,2.248766e+01,4.173770e-01,2.235063e+01,4.178319e-01
9.500000e-01,4.174097e+01,1.570943e+00,4.151332e+01,1.556381e+00
