rho,performance0,interval0,performance1,interval1
5.000000e-02,1.877889e+00,4.485187e-03,1.872942e+00,4.372123e-03
1.000000e-01,1.781113e+00,4.409845e-03,1.774945e+00,4.433589e-03
1.500000e-01,1.679396e+00,4.519936e-03,1.681146e+00,4.273534e-03
2.000000e-01,1.580248e+00,4.589180e-03,1.582975e+00,4.602892e-03
2.500000e-01,1.478873e+00,3.990434e-03,1.473945e+00,3.992222e-03
3.000000e-01,1.374094e+00,3.942494e-03,1.377437e+00,3.853249e-03
3.500000e-01,1.272817e+00,3.795290e-03,1.278366e+00,4.068314e-03
4.000000e-01,1.178092e+00,4.359462e-03,1.174045e+00,4.313859e-03
4.500000e-01,1.077441e+00,4.334990e-03,1.081811e+00,4.344563e-03
5.000000e-01,9.832583e-01,4.106368e-03,9.859221e-01,3.608338e-03
5.500000e-01,8.902589e-01,3.812924e-03,8.905559e-01,3.574661e-03
6.000000e-01,7.935864e-01,3.955952e-03,7.941462e-01,3.727878e-03
6.500000e-01,6.990235e-01,3.885256e-03,6.993339e-01,3.726930e-03
7.000000e-01,6.042447e-01,3.292269e-03,6.065335e-01,3.619466e-03
7.500000e-01,5.152710e-01,4.450414e-03,5.128388e-01,3.786698e-03
8.000000e-01,4.212391e-01,3.769750e-03,4.193839e-01,3.537104e-03
8.500000e-01,3.218398e-01,4.076427e-03,3.229615e-01,4.204436e-03
9.000000e-01,2.243529e-01,4.234211e-03,2.257162e-01,4.208789e-03
9.500000e-01,1.235841e-01,4.072642e-03,1.242732e-01,4.115883e-03
