rho,performance0,interval0,performance1,interval1
5.000000e-02,2.166558e+00,5.750196e-03,2.165345e+00,5.787278e-03
1.000000e-01,2.580355e+00,8.457771e-03,2.574486e+00,8.787205e-03
1.500000e-01,3.043364e+00,9.747369e-03,3.039632e+00,1.373812e-02
2.000000e-01,3.542329e+00,1.556363e-02,3.542790e+00,1.663551e-02
2.500000e-01,4.133087e+00,1.794092e-02,4.125108e+00,1.802775e-02
3.000000e-01,4.802352e+00,2.289587e-02,4.781836e+00,2.542431e-02
3.500000e-01,5.561789e+00,2.835996e-02,5.547828e+00,2.918081e-02
4.000000e-01,6.433848e+00,3.511057e-02,6.413107e+00,3.851113e-02
4.500000e-01,7.420166e+00,4.367090e-02,7.418915e+00,3.898464e-02
5.000000e-01,8.695024e+00,5.520909e-02,8.649888e+00,5.399971e-02
5.500000e-01,1.015320e+01,7.054344e-02,1.006159e+01,6.831432e-02
6.000000e-01,1.190004e+01,7.969118e-02,1.182304e+01,7.539429e-02
6.500000e-01,1.423612e+01,1.121762e-01,1.416055e+01,1.076202e-01
7.000000e-01,1.727811e+01,1.498570e-01,1.726626e+01,1.559893e-01
7.500000e-01,2.124930e+01,1.683838e-01,2.127248e+01,1.809088e-01
8.000000e-01,2.756608e+01,3.206545e-01,2.755373e+01,3.163661e-01
8.500000e-01,3.750400e+01,4.777288e-01,3.742886e+01,4.657576e-01
9.000000e-01,5.797271e+01,1.053776e+00,5.789736e+01,1.086517e+00
9.500000e-01,1.189525e+02,4.438318e+00,1.187581e+02,4.460151e+00
