rho,performance0,interval0,performance1,interval1
5.000000e-02,1.869650e+00,3.462581e-03,1.864464e+00,4.124703e-03
1.000000e-01,1.745730e+00,4.115360e-03,1.746095e+00,3.708130e-03
1.500000e-01,1.626289e+00,3.221375e-03,1.625475e+00,3.741417e-03
2.000000e-01,1.507627e+00,4.366918e-03,1.505862e+00,4.265590e-03
2.500000e-01,1.394306e+00,3.797869e-03,1.390607e+00,4.757889e-03
3.000000e-01,1.281756e+00,4.320830e-03,1.283888e+00,4.107247e-03
3.500000e-01,1.174301e+00,3.883387e-03,1.176785e+00,3.855678e-03
4.000000e-01,1.070222e+00,3.726115e-03,1.068648e+00,3.667891e-03
4.500000e-01,9.680161e-01,3.932246e-03,9.700598e-01,3.248003e-03
5.000000e-01,8.675274e-01,3.614692e-03,8.739525e-01,3.753761e-03
5.500000e-01,7.786561e-01,3.166796e-03,7.783033e-01,3.368746e-03
6.000000e-01,6.784248e-01,3.776233e-03,6.799143e-01,3.406019e-03
6.500000e-01,5.891614e-01,2.764701e-03,5.930863e-01,3.232076e-03
7.000000e-01,5.023056e-01,3.038135e-03,5.015887e-01,3.068457e-03
7.500000e-01,4.170925e-01,3.162947e-03,4.182666e-01,3.143451e-03
8.000000e-01,3.330450e-01,2.552413e-03,3.337902e-01,2.853231e-03
8.500000e-01,2.512137e-01,3.210492e-03,2.508165e-01,3.075345e-03
9.000000e-01,1.684198e-01,2.984892e-03,1.684386e-01,2.873255e-03
9.500000e-01,8.796998e-02,2.697383e-03,8.828584e-02,2.761823e-03
