rho,performance0,interval0,performance1,interval1
5.000000e-02,2.713944e+00,4.136738e-03,5.721060e+00,8.274490e-03
1.000000e-01,2.955350e+00,4.863309e-03,6.545403e+00,1.156968e-02
1.500000e-01,3.232612e+00,5.127803e-03,7.455149e+00,1.483538e-02
2.000000e-01,3.550057e+00,6.455679e-03,8.486097e+00,1.580749e-02
2.500000e-01,3.933816e+00,7.709112e-03,9.723821e+00,1.888723e-02
3.000000e-01,4.358040e+00,1.010391e-02,1.108823e+01,2.234087e-02
3.500000e-01,4.885273e+00,1.176784e-02,1.271613e+01,3.026694e-02
4.000000e-01,5.501802e+00,1.242929e-02,1.460763e+01,3.659928e-02
4.500000e-01,6.238897e+00,1.500605e-02,1.689850e+01,4.735770e-02
5.000000e-01,7.151655e+00,1.968763e-02,1.970969e+01,6.456047e-02
5.500000e-01,8.249467e+00,2.512919e-02,2.306087e+01,9.640791e-02
6.000000e-01,9.662868e+00,3.353525e-02,2.727043e+01,1.059671e-01
6.500000e-01,1.156842e+01,4.449805e-02,3.291622e+01,1.418174e-01
7.000000e-01,1.403048e+01,5.927681e-02,4.040206e+01,2.460120e-01
7.500000e-01,1.760960e+01,1.043073e-01,5.092495e+01,3.633389e-01
8.000000e-01,2.297349e+01,1.511027e-01,6.743011e+01,5.407956e-01
8.500000e-01,3.192914e+01,3.163190e-01,9.407367e+01,9.959201e-01
9.000000e-01,5.069373e+01,6.760572e-01,1.496101e+02,2.520605e+00
9.500000e-01,1.058857e+02,3.200091e+00,3.124212e+02,1.112885e+01
