rho,performance0,interval0,performance1,interval1
5.000000e-02,2.690006e+00,4.231866e-03,5.524438e+00,8.644437e-03
1.000000e-01,2.887252e+00,4.247037e-03,6.105169e+00,1.091747e-02
1.500000e-01,3.117166e+00,4.553465e-03,6.758425e+00,1.252356e-02
2.000000e-01,3.361126e+00,5.592104e-03,7.495998e+00,1.457858e-02
2.500000e-01,3.642402e+00,6.914239e-03,8.359448e+00,1.810917e-02
3.000000e-01,3.979714e+00,9.175261e-03,9.343177e+00,2.361514e-02
3.500000e-01,4.374192e+00,9.886201e-03,1.051639e+01,2.817170e-02
4.000000e-01,4.843544e+00,1.074119e-02,1.190432e+01,3.225894e-02
4.500000e-01,5.386356e+00,1.354068e-02,1.352778e+01,3.973220e-02
5.000000e-01,6.034653e+00,1.665210e-02,1.546728e+01,4.421381e-02
5.500000e-01,6.862151e+00,2.176288e-02,1.795501e+01,6.120805e-02
6.000000e-01,7.919237e+00,2.560355e-02,2.106429e+01,8.721379e-02
6.500000e-01,9.301317e+00,3.907223e-02,2.493104e+01,1.298191e-01
7.000000e-01,1.109190e+01,4.796797e-02,3.039155e+01,1.512433e-01
7.500000e-01,1.366325e+01,7.308328e-02,3.771483e+01,2.529283e-01
8.000000e-01,1.758284e+01,1.267375e-01,4.918929e+01,4.260794e-01
8.500000e-01,2.427910e+01,2.332473e-01,6.884805e+01,7.930175e-01
9.000000e-01,3.721756e+01,4.519970e-01,1.064535e+02,1.812245e+00
9.500000e-01,7.909912e+01,2.236736e+00,2.252592e+02,6.749445e+00
