rho,performance0,interval0,performance1,interval1
5.000000e-02,1.858850e+00,2.926014e-03,9.051267e-01,1.418296e-03
1.000000e-01,1.731847e+00,2.552806e-03,8.190458e-01,1.468757e-03
1.500000e-01,1.604109e+00,2.340559e-03,7.398831e-01,1.376800e-03
2.000000e-01,1.487703e+00,2.477182e-03,6.670878e-01,1.300982e-03
2.500000e-01,1.372848e+00,2.606852e-03,5.981978e-01,1.293364e-03
3.000000e-01,1.256544e+00,2.896115e-03,5.352376e-01,1.348054e-03
3.500000e-01,1.143219e+00,2.590875e-03,4.755362e-01,1.275709e-03
4.000000e-01,1.032433e+00,2.290578e-03,4.200954e-01,1.141243e-03
4.500000e-01,9.284232e-01,2.345111e-03,3.696919e-01,1.085520e-03
5.000000e-01,8.287102e-01,2.281952e-03,3.233311e-01,9.241422e-04
5.500000e-01,7.288237e-01,2.315269e-03,2.785575e-01,9.530559e-04
6.000000e-01,6.315443e-01,2.045217e-03,2.374726e-01,9.754766e-04
6.500000e-01,5.378038e-01,2.268790e-03,2.006923e-01,1.036982e-03
7.000000e-01,4.509950e-01,1.933945e-03,1.646250e-01,8.239147e-04
7.500000e-01,3.662131e-01,1.945116e-03,1.327293e-01,9.007706e-04
8.000000e-01,2.847476e-01,2.045234e-03,1.018419e-01,8.719030e-04
8.500000e-01,2.064230e-01,1.961461e-03,7.287316e-02,8.424081e-04
9.000000e-01,1.348472e-01,1.608388e-03,4.731287e-02,7.881396e-04
9.500000e-01,6.436397e-02,1.623149e-03,2.263781e-02,5.879824e-04
