rho,performance0,interval0,performance1,interval1
5.000000e-02,2.065914e+00,5.108930e-03,4.746389e+00,1.503168e-02
1.000000e-01,2.391521e+00,6.633630e-03,6.039081e+00,2.247705e-02
1.500000e-01,2.732928e+00,9.460386e-03,7.509342e+00,2.662751e-02
2.000000e-01,3.149280e+00,1.251110e-02,9.155798e+00,3.786876e-02
2.500000e-01,3.622046e+00,1.664083e-02,1.111523e+01,5.451812e-02
3.000000e-01,4.169014e+00,1.503820e-02,1.325884e+01,6.535395e-02
3.500000e-01,4.798992e+00,2.373565e-02,1.589328e+01,8.591094e-02
4.000000e-01,5.542198e+00,2.920834e-02,1.878598e+01,1.159597e-01
4.500000e-01,6.464298e+00,3.737298e-02,2.243676e+01,1.489015e-01
5.000000e-01,7.645087e+00,4.366239e-02,2.686481e+01,1.671938e-01
5.500000e-01,9.058381e+00,6.246092e-02,3.219757e+01,2.317778e-01
6.000000e-01,1.096181e+01,8.806580e-02,3.917913e+01,3.339077e-01
6.500000e-01,1.338342e+01,1.131474e-01,4.812687e+01,4.647132e-01
7.000000e-01,1.685209e+01,1.637376e-01,5.993995e+01,5.771837e-01
7.500000e-01,2.158644e+01,2.429535e-01,7.646953e+01,9.901465e-01
8.000000e-01,2.915316e+01,3.716535e-01,1.001837e+02,1.430839e+00
8.500000e-01,4.265567e+01,6.189543e-01,1.448555e+02,2.368554e+00
9.000000e-01,6.932430e+01,1.456441e+00,2.275122e+02,4.798163e+00
9.500000e-01,1.578042e+02,6.174173e+00,4.962676e+02,2.102214e+01
