rho,performance0,interval0,performance1,interval1
5.000000e-02,1.905629e+00,4.863143e-03,9.333780e-01,2.560040e-03
1.000000e-01,1.796958e+00,5.710933e-03,8.702563e-01,2.543881e-03
1.500000e-01,1.691594e+00,4.534996e-03,8.097594e-01,2.769707e-03
2.000000e-01,1.587357e+00,5.315212e-03,7.511089e-01,2.487151e-03
2.500000e-01,1.485281e+00,5.287932e-03,6.867267e-01,2.437363e-03
3.000000e-01,1.382803e+00,4.518085e-03,6.297331e-01,2.674139e-03
3.500000e-01,1.279389e+00,5.468906e-03,5.733718e-01,2.584847e-03
4.000000e-01,1.172093e+00,4.330157e-03,5.162596e-01,2.237985e-03
4.500000e-01,1.070789e+00,5.002063e-03,4.657839e-01,2.405866e-03
5.000000e-01,9.693202e-01,4.627977e-03,4.137593e-01,2.564548e-03
5.500000e-01,8.699986e-01,4.332015e-03,3.647278e-01,2.253353e-03
6.000000e-01,7.659879e-01,4.123672e-03,3.127145e-01,2.142120e-03
6.500000e-01,6.671097e-01,4.287741e-03,2.668724e-01,2.221704e-03
7.000000e-01,5.699237e-01,3.833374e-03,2.231312e-01,2.131730e-03
7.500000e-01,4.679446e-01,4.879918e-03,1.793961e-01,2.199264e-03
8.000000e-01,3.752607e-01,4.266244e-03,1.414123e-01,2.001474e-03
8.500000e-01,2.767030e-01,4.103964e-03,1.031650e-01,1.861481e-03
9.000000e-01,1.798755e-01,4.419349e-03,6.631767e-02,2.027363e-03
9.500000e-01,9.853595e-02,3.322685e-03,3.605414e-02,1.450272e-03
