rho,performance,interval
5.000000e-02,2.592195e+00,2.729967e-03
1.000000e-01,2.693932e+00,3.347794e-03
1.500000e-01,2.818353e+00,3.595163e-03
2.000000e-01,2.964498e+00,3.732036e-03
2.500000e-01,3.138280e+00,3.987516e-03
3.000000e-01,3.344310e+00,4.574742e-03
3.500000e-01,3.582031e+00,5.532126e-03
4.000000e-01,3.861020e+00,7.059913e-03
4.500000e-01,4.191652e+00,7.428017e-03
5.000000e-01,4.583946e+00,9.313507e-03
5.500000e-01,5.053870e+00,1.025666e-02
6.000000e-01,5.615419e+00,1.351559e-02
6.500000e-01,6.327435e+00,1.544017e-02
7.000000e-01,7.183424e+00,1.957607e-02
7.500000e-01,8.318046e+00,2.585956e-02
8.000000e-01,9.866526e+00,3.762377e-02
8.500000e-01,1.205173e+01,5.657224e-02
9.000000e-01,1.541208e+01,9.434613e-02
9.500000e-01,2.210408e+01,2.325505e-01
