rho,performance,interval
5.000000e-02,1.928922e+00,2.028598e-03
1.000000e-01,1.856097e+00,2.306636e-03
1.500000e-01,1.774160e+00,2.260583e-03
2.000000e-01,1.686695e+00,2.127167e-03
2.500000e-01,1.593296e+00,2.026380e-03
3.000000e-01,1.495149e+00,2.052036e-03
3.500000e-01,1.395942e+00,2.157756e-03
4.000000e-01,1.295106e+00,2.367594e-03
4.500000e-01,1.192944e+00,2.109118e-03
5.000000e-01,1.090879e+00,2.213931e-03
5.500000e-01,9.894458e-01,2.005868e-03
6.000000e-01,8.905388e-01,2.148657e-03
6.500000e-01,7.903305e-01,1.922830e-03
7.000000e-01,6.961802e-01,1.898985e-03
7.500000e-01,6.012520e-01,1.863784e-03
8.000000e-01,5.069525e-01,1.919205e-03
8.500000e-01,4.151176e-01,1.978988e-03
9.000000e-01,3.247325e-01,1.977705e-03
9.500000e-01,2.268373e-01,2.348687e-03
