rho,performance,interval
5.000000e-02,1.933493e+00,3.240965e-03
1.000000e-01,1.865280e+00,2.807362e-03
1.500000e-01,1.792767e+00,3.500409e-03
2.000000e-01,1.724080e+00,3.085974e-03
2.500000e-01,1.650728e+00,2.931446e-03
3.000000e-01,1.576429e+00,2.957549e-03
3.500000e-01,1.501016e+00,3.506819e-03
4.000000e-01,1.425249e+00,3.394316e-03
4.500000e-01,1.348147e+00,2.910124e-03
5.000000e-01,1.270685e+00,3.473222e-03
5.500000e-01,1.188520e+00,3.387098e-03
6.000000e-01,1.105799e+00,3.455017e-03
6.500000e-01,1.027225e+00,2.985496e-03
7.000000e-01,9.382793e-01,3.374552e-03
7.500000e-01,8.472816e-01,3.482407e-03
8.000000e-01,7.499878e-01,3.329443e-03
8.500000e-01,6.508946e-01,3.777484e-03
9.000000e-01,5.346135e-01,4.094088e-03
9.500000e-01,3.983673e-01,5.143810e-03
