rho,performance,interval
5.000000e-02,1.937632e+00,2.794612e-03
1.000000e-01,1.858028e+00,2.841228e-03
1.500000e-01,1.785177e+00,2.983041e-03
2.000000e-01,1.705499e+00,3.061712e-03
2.500000e-01,1.628876e+00,2.660038e-03
3.000000e-01,1.553656e+00,3.024394e-03
3.500000e-01,1.475308e+00,3.081272e-03
4.000000e-01,1.396966e+00,3.173914e-03
4.500000e-01,1.318468e+00,3.089459e-03
5.000000e-01,1.232443e+00,3.011729e-03
5.500000e-01,1.150246e+00,3.030288e-03
6.000000e-01,1.064960e+00,3.042711e-03
6.500000e-01,9.788098e-01,3.297887e-03
7.000000e-01,8.870949e-01,3.276961e-03
7.500000e-01,7.938956e-01,3.195618e-03
8.000000e-01,7.024255e-01,3.594524e-03
8.500000e-01,5.949839e-01,3.895024e-03
9.000000e-01,4.844342e-01,3.745379e-03
9.500000e-01,3.501172e-01,5.168017e-03
