rho,performance,interval
5.000000e-02,1.731893e+00,1.458166e-03
1.000000e-01,1.796341e+00,1.532623e-03
1.500000e-01,1.862672e+00,1.718148e-03
2.000000e-01,1.937826e+00,1.974694e-03
2.500000e-01,2.031463e+00,2.029544e-03
3.000000e-01,2.138699e+00,2.425345e-03
3.500000e-01,2.262712e+00,2.765828e-03
4.000000e-01,2.414827e+00,3.238089e-03
4.500000e-01,2.593315e+00,3.459841e-03
5.000000e-01,2.804894e+00,4.363153e-03
5.500000e-01,3.064337e+00,5.273232e-03
6.000000e-01,3.389551e+00,6.914356e-03
6.500000e-01,3.801970e+00,7.632591e-03
7.000000e-01,4.314883e+00,9.501411e-03
7.500000e-01,4.985129e+00,1.380163e-02
8.000000e-01,5.939969e+00,2.067141e-02
8.500000e-01,7.279838e+00,2.901197e-02
9.000000e-01,9.599856e+00,5.995387e-02
9.500000e-01,1.430194e+01,1.414470e-01
