rho,performance,interval
5.000000e-02,1.223021e+00,2.270572e-03
1.000000e-01,1.265107e+00,2.793314e-03
1.500000e-01,1.310577e+00,2.611141e-03
2.000000e-01,1.358281e+00,2.983235e-03
2.500000e-01,1.416687e+00,3.103208e-03
3.000000e-01,1.472045e+00,3.790065e-03
3.500000e-01,1.540946e+00,3.447752e-03
4.000000e-01,1.610209e+00,4.040276e-03
4.500000e-01,1.693232e+00,5.079868e-03
5.000000e-01,1.784617e+00,5.054204e-03
5.500000e-01,1.894028e+00,5.972947e-03
6.000000e-01,2.010625e+00,6.954810e-03
6.500000e-01,2.164066e+00,9.275589e-03
7.000000e-01,2.340152e+00,9.487457e-03
7.500000e-01,2.550782e+00,1.434163e-02
8.000000e-01,2.859584e+00,1.612515e-02
8.500000e-01,3.251888e+00,2.334514e-02
9.000000e-01,3.875465e+00,3.325267e-02
9.500000e-01,5.205767e+00,8.157622e-02
