rho,betak1,betak2,etai1,Li1,gammai1,etai2,Li2,gammai2,etai3,Li3,gammai3,etai4,Li4,gammai4,etai5,Li5,gammai5,etai6,Li6,gammai6,etai7,Li7,gammai7,etai8,Li8,gammai8,etai9,Li9,gammai9,etai10,Li10,gammai10,beta,eta,L,gamma
1.000000e-02,8.841248e-89,5.716723e-78,6.577227e-03,6.615290e-03,9.942462e-01,6.577227e-03,6.615290e-03,9.942462e-01,6.577227e-03,6.615290e-03,9.942462e-01,1.146782e-02,1.158094e-02,9.902324e-01,1.146782e-02,1.158094e-02,9.902324e-01,1.146782e-02,1.158094e-02,9.902324e-01,1.146782e-02,1.158094e-02,9.902324e-01,1.146568e-02,1.157876e-02,9.902338e-01,1.146568e-02,1.157876e-02,9.902338e-01,1.146568e-02,1.157876e-02,9.902338e-01,4.573378e-78,1.000000e-02,1.009059e-01,9.910223e-01
2.000000e-02,3.817335e-76,2.318184e-65,1.315447e-02,1.330746e-02,9.885030e-01,1.315447e-02,1.330746e-02,9.885030e-01,1.315447e-02,1.330746e-02,9.885030e-01,2.293563e-02,2.339177e-02,9.804999e-01,2.293563e-02,2.339177e-02,9.804999e-01,2.293563e-02,2.339177e-02,9.804999e-01,2.293563e-02,2.339177e-02,9.804999e-01,2.293136e-02,2.338735e-02,9.805026e-01,2.293136e-02,2.338735e-02,9.805026e-01,2.293136e-02,2.338735e-02,9.805026e-01,1.854547e-65,2.000000e-02,2.036515e-01,9.820697e-01
3.000000e-02,9.333920e-69,5.313387e-58,1.973174e-02,2.007766e-02,9.827706e-01,1.973174e-02,2.007766e-02,9.827706e-01,1.973174e-02,2.007766e-02,9.827706e-01,3.440343e-02,3.543812e-02,9.708028e-01,3.440343e-02,3.543812e-02,9.708028e-01,3.440343e-02,3.543812e-02,9.708028e-01,3.440343e-02,3.543812e-02,9.708028e-01,3.439702e-02,3.543138e-02,9.708068e-01,3.439702e-02,3.543138e-02,9.708068e-01,3.439702e-02,3.543138e-02,9.708068e-01,4.250709e-58,3.000000e-02,3.082796e-01,9.731425e-01
4.000000e-02,1.623592e-63,8.646349e-53,2.630905e-02,2.692706e-02,9.770490e-01,2.630905e-02,2.692706e-02,9.770490e-01,2.630905e-02,2.692706e-02,9.770490e-01,4.587121e-02,4.772575e-02,9.611416e-01,4.587121e-02,4.772575e-02,9.611416e-01,4.587121e-02,4.772575e-02,9.611416e-01,4.587121e-02,4.772575e-02,9.611416e-01,4.586267e-02,4.771661e-02,9.611469e-01,4.586267e-02,4.771661e-02,9.611469e-01,4.586267e-02,4.771661e-02,9.611469e-01,6.917079e-53,4.000000e-02,4.148340e-01,9.642411e-01
5.000000e-02,1.880318e-59,9.348151e-49,3.288643e-02,3.385683e-02,9.713383e-01,3.288643e-02,3.385683e-02,9.713383e-01,3.288643e-02,3.385683e-02,9.713383e-01,5.733896e-02,6.026058e-02,9.515168e-01,5.733896e-02,6.026058e-02,9.515168e-01,5.733896e-02,6.026058e-02,9.515168e-01,5.733896e-02,6.026058e-02,9.515168e-01,5.732829e-02,6.024896e-02,9.515233e-01,5.732829e-02,6.024896e-02,9.515233e-01,5.732829e-02,6.024896e-02,9.515233e-01,7.478521e-49,5.000000e-02,5.233597e-01,9.553659e-01
6.000000e-02,3.926093e-56,1.818204e-45,3.946389e-02,4.086818e-02,9.656386e-01,3.946389e-02,4.086818e-02,9.656386e-01,3.946389e-02,4.086818e-02,9.656386e-01,6.880667e-02,7.304871e-02,9.419287e-01,6.880667e-02,7.304871e-02,9.419287e-01,6.880667e-02,7.304871e-02,9.419287e-01,6.880667e-02,7.304871e-02,9.419287e-01,6.879388e-02,7.303452e-02,9.419365e-01,6.879388e-02,7.303452e-02,9.419365e-01,6.879388e-02,7.303452e-02,9.419365e-01,1.454563e-45,6.000000e-02,6.339029e-01,9.465172e-01
7.000000e-02,2.514568e-53,1.082276e-42,4.604144e-02,4.796234e-02,9.599499e-01,4.604144e-02,4.796234e-02,9.599499e-01,4.604144e-02,4.796234e-02,9.599499e-01,8.027435e-02,8.609638e-02,9.323778e-01,8.027435e-02,8.609638e-02,9.323778e-01,8.027435e-02,8.609638e-02,9.323778e-01,8.027435e-02,8.609638e-02,9.323778e-01,8.025943e-02,8.607955e-02,9.323868e-01,8.025943e-02,8.607955e-02,9.323868e-01,8.025943e-02,8.607955e-02,9.323868e-01,8.658209e-43,7.000000e-02,7.465112e-01,9.376953e-01
8.000000e-02,6.784588e-51,2.707385e-40,5.261911e-02,5.514056e-02,9.542723e-01,5.261911e-02,5.514056e-02,9.542723e-01,5.261911e-02,5.514056e-02,9.542723e-01,9.174197e-02,9.941003e-02,9.228643e-01,9.174197e-02,9.941003e-02,9.228643e-01,9.174197e-02,9.941003e-02,9.228643e-01,9.174197e-02,9.941003e-02,9.228643e-01,9.172493e-02,9.939047e-02,9.228745e-01,9.172493e-02,9.939047e-02,9.228745e-01,9.172493e-02,9.939047e-02,9.228745e-01,2.165908e-40,8.000000e-02,8.612332e-01,9.289005e-01
9.000000e-02,9.463060e-49,3.492365e-38,5.919691e-02,6.240412e-02,9.486058e-01,5.919691e-02,6.240412e-02,9.486058e-01,5.919691e-02,6.240412e-02,9.486058e-01,1.032095e-01,1.129963e-01,9.133887e-01,1.032095e-01,1.129963e-01,9.133887e-01,1.032095e-01,1.129963e-01,9.133887e-01,1.032095e-01,1.129963e-01,9.133887e-01,1.031904e-01,1.129739e-01,9.134001e-01,1.031904e-01,1.129739e-01,9.134001e-01,1.031904e-01,1.129739e-01,9.134001e-01,2.793892e-38,9.000000e-02,9.781193e-01,9.201332e-01
1.000000e-01,7.846905e-47,2.671190e-36,6.577487e-02,6.975431e-02,9.429506e-01,6.577487e-02,6.975431e-02,9.429506e-01,6.577487e-02,6.975431e-02,9.429506e-01,1.146770e-01,1.268620e-01,9.039512e-01,1.146770e-01,1.268620e-01,9.039512e-01,1.146770e-01,1.268620e-01,9.039512e-01,1.146770e-01,1.268620e-01,9.039512e-01,1.146558e-01,1.268367e-01,9.039638e-01,1.146558e-01,1.268367e-01,9.039638e-01,1.146558e-01,1.268367e-01,9.039638e-01,2.136952e-36,1.000000e-01,1.097221e+00,9.113936e-01
