rho,betak1,Li1,gammai1,Li2,gammai2,Li3,gammai3,Li4,gammai4,Li5,gammai5,Li6,gammai6,beta,eta,L,gamma
5.000000e-03,7.586577e-131,7.021852e-03,0.000000e+00,7.036791e-03,0.000000e+00,7.021852e-03,0.000000e+00,1.741498e-03,0.000000e+00,1.742422e-03,0.000000e+00,1.741498e-03,0.000000e+00,7.586577e-131,5.000000e-03,2.630591e-02,4.751784e+00
1.000000e-02,8.518493e-113,1.420169e-02,0.000000e+00,1.426237e-02,0.000000e+00,1.420169e-02,0.000000e+00,3.493864e-03,0.000000e+00,3.497575e-03,0.000000e+00,3.493864e-03,0.000000e+00,8.518493e-113,1.000000e-02,5.315105e-02,4.703576e+00
1.500000e-02,3.049560e-102,2.154442e-02,0.000000e+00,2.168305e-02,0.000000e+00,2.154442e-02,0.000000e+00,5.257239e-03,0.000000e+00,5.265628e-03,0.000000e+00,5.257239e-03,0.000000e+00,3.049560e-102,1.500000e-02,8.055200e-02,4.655378e+00
2.000000e-02,9.307638e-95,2.905514e-02,0.000000e+00,2.930542e-02,0.000000e+00,2.905514e-02,0.000000e+00,7.031773e-03,0.000000e+00,7.046755e-03,0.000000e+00,7.031773e-03,0.000000e+00,9.307638e-95,2.000000e-02,1.085260e-01,4.607191e+00
2.500000e-02,5.910105e-89,3.673915e-02,0.000000e+00,3.713630e-02,0.000000e+00,3.673915e-02,0.000000e+00,8.817617e-03,0.000000e+00,8.841134e-03,0.000000e+00,8.817617e-03,0.000000e+00,5.910105e-89,2.500000e-02,1.370910e-01,4.559017e+00
3.000000e-02,3.239657e-84,4.460198e-02,0.000000e+00,4.518278e-02,0.000000e+00,4.460198e-02,0.000000e+00,1.061493e-02,0.000000e+00,1.064895e-02,0.000000e+00,1.061493e-02,0.000000e+00,3.239657e-84,3.000000e-02,1.662655e-01,4.510856e+00
3.500000e-02,3.274968e-80,5.264937e-02,0.000000e+00,5.345226e-02,0.000000e+00,5.264937e-02,0.000000e+00,1.242387e-02,0.000000e+00,1.247039e-02,0.000000e+00,1.242387e-02,0.000000e+00,3.274968e-80,3.500000e-02,1.960691e-01,4.462712e+00
4.000000e-02,9.604908e-77,6.088731e-02,0.000000e+00,6.195241e-02,0.000000e+00,6.088731e-02,0.000000e+00,1.424461e-02,0.000000e+00,1.430565e-02,0.000000e+00,1.424461e-02,0.000000e+00,9.604908e-77,4.000000e-02,2.265219e-01,4.414584e+00
4.500000e-02,1.094662e-73,6.932203e-02,0.000000e+00,7.069122e-02,0.000000e+00,6.932203e-02,0.000000e+00,1.607731e-02,0.000000e+00,1.615494e-02,0.000000e+00,1.607731e-02,0.000000e+00,1.094662e-73,4.500000e-02,2.576449e-01,4.366476e+00
5.000000e-02,5.918719e-71,7.796003e-02,0.000000e+00,7.967699e-02,0.000000e+00,7.796003e-02,0.000000e+00,1.792217e-02,0.000000e+00,1.801847e-02,0.000000e+00,1.792217e-02,0.000000e+00,5.918719e-71,5.000000e-02,2.894599e-01,4.318388e+00
