rho,betak1,Li1,gammai1,Li2,gammai2,Li3,gammai3,Li4,gammai4,beta,eta,L,gamma
5.000000e-03,1.360664e-131,7.907150e-03,0.000000e+00,7.907150e-03,0.000000e+00,1.959487e-03,0.000000e+00,1.959487e-03,0.000000e+00,1.360664e-131,5.000000e-03,1.973327e-02,6.334479e+00
1.000000e-02,1.537928e-113,1.600780e-02,0.000000e+00,1.600780e-02,0.000000e+00,3.931800e-03,0.000000e+00,3.931800e-03,0.000000e+00,1.537928e-113,1.000000e-02,3.987920e-02,6.268933e+00
1.500000e-02,5.542506e-103,2.430844e-02,0.000000e+00,2.430844e-02,0.000000e+00,5.917098e-03,0.000000e+00,5.917098e-03,0.000000e+00,5.542506e-103,1.500000e-02,6.045108e-02,6.203363e+00
2.000000e-02,1.703070e-95,3.281586e-02,0.000000e+00,3.281586e-02,0.000000e+00,7.915543e-03,0.000000e+00,7.915543e-03,0.000000e+00,1.703070e-95,2.000000e-02,8.146281e-02,6.137770e+00
2.500000e-02,1.088782e-89,4.153712e-02,0.000000e+00,4.153712e-02,0.000000e+00,9.927302e-03,0.000000e+00,9.927302e-03,0.000000e+00,1.088782e-89,2.500000e-02,1.029288e-01,6.072156e+00
3.000000e-02,6.009341e-85,5.047960e-02,0.000000e+00,5.047960e-02,0.000000e+00,1.195255e-02,0.000000e+00,1.195255e-02,0.000000e+00,6.009341e-85,3.000000e-02,1.248643e-01,6.006521e+00
3.500000e-02,6.117113e-81,5.965099e-02,0.000000e+00,5.965099e-02,0.000000e+00,1.399145e-02,0.000000e+00,1.399145e-02,0.000000e+00,6.117113e-81,3.500000e-02,1.472849e-01,5.940867e+00
4.000000e-02,1.806652e-77,6.905935e-02,0.000000e+00,6.905935e-02,0.000000e+00,1.604421e-02,0.000000e+00,1.604421e-02,0.000000e+00,1.806652e-77,4.000000e-02,1.702071e-01,5.875195e+00
4.500000e-02,2.073642e-74,7.871306e-02,0.000000e+00,7.871306e-02,0.000000e+00,1.811099e-02,0.000000e+00,1.811099e-02,0.000000e+00,2.073642e-74,4.500000e-02,1.936481e-01,5.809507e+00
5.000000e-02,1.129238e-71,8.862090e-02,0.000000e+00,8.862090e-02,0.000000e+00,2.019201e-02,0.000000e+00,2.019201e-02,0.000000e+00,1.129238e-71,5.000000e-02,2.176258e-01,5.743804e+00
5.500000e-02,3.363883e-69,9.879205e-02,0.000000e+00,9.879205e-02,0.000000e+00,2.228745e-02,0.000000e+00,2.228745e-02,0.000000e+00,3.363883e-69,5.500000e-02,2.421590e-01,5.678088e+00
6.000000e-02,6.088888e-67,1.092361e-01,0.000000e+00,1.092361e-01,0.000000e+00,2.439752e-02,0.000000e+00,2.439752e-02,0.000000e+00,6.088888e-67,6.000000e-02,2.672672e-01,5.612360e+00
6.500000e-02,7.253281e-65,1.199631e-01,0.000000e+00,1.199631e-01,0.000000e+00,2.652245e-02,0.000000e+00,2.652245e-02,0.000000e+00,7.253281e-65,6.500000e-02,2.929710e-01,5.546623e+00
7.000000e-02,6.050200e-63,1.309835e-01,0.000000e+00,1.309835e-01,0.000000e+00,2.866244e-02,0.000000e+00,2.866244e-02,0.000000e+00,6.050200e-63,7.000000e-02,3.192918e-01,5.480879e+00
7.500000e-02,3.711919e-61,1.423083e-01,0.000000e+00,1.423083e-01,0.000000e+00,3.081774e-02,0.000000e+00,3.081774e-02,0.000000e+00,3.711919e-61,7.500000e-02,3.462521e-01,5.415130e+00
8.000000e-02,1.742752e-59,1.539491e-01,0.000000e+00,1.539491e-01,0.000000e+00,3.298857e-02,0.000000e+00,3.298857e-02,0.000000e+00,1.742752e-59,8.000000e-02,3.738753e-01,5.349378e+00
8.500000e-02,6.467861e-58,1.659178e-01,0.000000e+00,1.659178e-01,0.000000e+00,3.517518e-02,0.000000e+00,3.517518e-02,0.000000e+00,6.467861e-58,8.500000e-02,4.021860e-01,5.283626e+00
9.000000e-02,1.949112e-56,1.782271e-01,0.000000e+00,1.782271e-01,0.000000e+00,3.737784e-02,0.000000e+00,3.737784e-02,0.000000e+00,1.949112e-56,9.000000e-02,4.312100e-01,5.217876e+00
9.500000e-02,4.877894e-55,1.908903e-01,0.000000e+00,1.908903e-01,0.000000e+00,3.959680e-02,0.000000e+00,3.959680e-02,0.000000e+00,4.877894e-55,9.500000e-02,4.609742e-01,5.152132e+00
1.000000e-01,1.033264e-53,2.039212e-01,0.000000e+00,2.039212e-01,0.000000e+00,4.183234e-02,0.000000e+00,4.183234e-02,0.000000e+00,1.033264e-53,1.000000e-01,4.915072e-01,5.086396e+00
1.050000e-01,1.882898e-52,2.173344e-01,0.000000e+00,2.173344e-01,0.000000e+00,4.408476e-02,0.000000e+00,4.408476e-02,0.000000e+00,1.882898e-52,1.050000e-01,5.228383e-01,5.020672e+00
1.100000e-01,2.993271e-51,2.311451e-01,0.000000e+00,2.311451e-01,0.000000e+00,4.635434e-02,0.000000e+00,4.635434e-02,0.000000e+00,2.993271e-51,1.100000e-01,5.549990e-01,4.954964e+00
1.150000e-01,4.201709e-50,2.453694e-01,0.000000e+00,2.453694e-01,0.000000e+00,4.864141e-02,0.000000e+00,4.864141e-02,0.000000e+00,4.201709e-50,1.150000e-01,5.880217e-01,4.889275e+00
1.200000e-01,5.263224e-49,2.600241e-01,0.000000e+00,2.600241e-01,0.000000e+00,5.094628e-02,0.000000e+00,5.094628e-02,0.000000e+00,5.263224e-49,1.200000e-01,6.219408e-01,4.823610e+00
1.250000e-01,5.938082e-48,2.751268e-01,0.000000e+00,2.751268e-01,0.000000e+00,5.326931e-02,0.000000e+00,5.326931e-02,0.000000e+00,5.938082e-48,1.250000e-01,6.567923e-01,4.757973e+00
1.300000e-01,6.083556e-47,2.906961e-01,0.000000e+00,2.906961e-01,0.000000e+00,5.561084e-02,0.000000e+00,5.561084e-02,0.000000e+00,6.083556e-47,1.300000e-01,6.926139e-01,4.692369e+00
1.350000e-01,5.700747e-46,3.067515e-01,0.000000e+00,3.067515e-01,0.000000e+00,5.797125e-02,0.000000e+00,5.797125e-02,0.000000e+00,5.700747e-46,1.350000e-01,7.294455e-01,4.626802e+00
1.400000e-01,4.917799e-45,3.233134e-01,0.000000e+00,3.233134e-01,0.000000e+00,6.035093e-02,0.000000e+00,6.035093e-02,0.000000e+00,4.917799e-45,1.400000e-01,7.673286e-01,4.561279e+00
1.450000e-01,3.928085e-44,3.404033e-01,0.000000e+00,3.404033e-01,0.000000e+00,6.275028e-02,0.000000e+00,6.275028e-02,0.000000e+00,3.928085e-44,1.450000e-01,8.063071e-01,4.495806e+00
1.500000e-01,2.920200e-43,3.580438e-01,0.000000e+00,3.580438e-01,0.000000e+00,6.516975e-02,0.000000e+00,6.516975e-02,0.000000e+00,2.920200e-43,1.500000e-01,8.464271e-01,4.430388e+00
1.550000e-01,2.029992e-42,3.762587e-01,0.000000e+00,3.762587e-01,0.000000e+00,6.760977e-02,0.000000e+00,6.760977e-02,0.000000e+00,2.029992e-42,1.550000e-01,8.877369e-01,4.365032e+00
1.600000e-01,1.325137e-41,3.950729e-01,0.000000e+00,3.950729e-01,0.000000e+00,7.007083e-02,0.000000e+00,7.007083e-02,0.000000e+00,1.325137e-41,1.600000e-01,9.302875e-01,4.299746e+00
